player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
Koke,Atlético Madrid,Midfielder,1,4,0,2,3,0,2,1,30,8,3,7,7,11,1,0,308,252,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,665,9,91.2
De Paul,Atlético Madrid,Midfielder,0,0,0,0,13,4,6,3,25,1,5,9,12,13,2,0,293,228,17,5,19,9,0,0,0,0,0,1,1,0,0,0,1,0,0,577,9,74.5
Kondogbia,Atlético Madrid,Midfielder,0,0,0,0,6,1,4,1,40,6,9,7,5,11,2,0,242,209,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,578,9,71.3
Marcos Llorente,Atlético Madrid,Midfielder,0,0,0,0,2,1,1,0,37,0,6,8,13,10,3,0,249,212,10,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,700,9,83.6
Herrera,Atlético Madrid,Midfielder,0,0,0,0,1,0,1,0,20,1,3,1,6,2,2,0,121,102,6,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,226,4,30.1
Javi Serrano,Atlético Madrid,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2.4
Jordi Alba,Barcelona,Defender,1,0,1,0,3,2,1,0,22,1,3,7,4,2,0,0,301,251,30,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,375,5,45.8
Lenglet,Barcelona,Defender,0,0,0,0,4,1,2,1,17,2,4,2,3,2,1,0,304,274,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,345,4,40.4
Dest,Barcelona,Defender,0,0,0,0,3,1,1,1,11,3,0,0,3,3,1,0,109,95,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,230,4,30.2
Ronald Araújo,Barcelona,Defender,0,0,0,0,3,0,3,0,19,6,2,9,1,5,1,0,192,167,3,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,367,5,36.4
Piqué,Barcelona,Defender,0,0,0,0,2,1,1,0,33,1,7,13,8,3,2,0,288,269,0,0,2,5,0,0,0,0,0,1,1,0,0,0,1,0,0,393,5,44
Eric García,Barcelona,Defender,0,0,0,0,2,0,1,1,14,1,2,4,6,1,3,1,203,197,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,247,4,29.7
Balde,Barcelona,Defender,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,3.7
